batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap
570731,Jonathan Schoop,51,0.3125,0.14705882352941177,0.0,0.8286,0.0,0.2174,0.2588235294117647,0.0,0.35021875,0.28665686274509805,-0.0647,Slight sell,100,0.2754,0.2111,0.248,0.0,2023,-0.0371,-0.0063,-0.0108,0.0,0.0278,0.1328
571448,Nolan Arenado,121,0.2907,0.2111801242236025,0.03409090909090909,0.8779,0.1,0.2368,0.27314049586776856,0.0165,0.30802298850574716,0.28293982376961097,0.0425,Neutral,312,0.293,0.2933,0.3991987179487179,0.0641,2023,0.0023,0.0564,0.1261,0.0476,0.0098,0.0712
571771,Enrique Hernández,110,0.3,0.2076923076923077,0.0410958904109589,0.8382,0.15,0.2449,0.3218181818181818,0.0273,0.2880972222222222,0.30402300865800863,-0.0055,Neutral,222,0.2561,0.2163,0.2518018018018018,0.0135,2023,-0.0439,-0.0286,-0.07,-0.0138,-0.0178,0.0432
571970,Max Muncy,103,0.1951,0.33707865168539325,0.2692307692307692,0.8427,0.4783,0.2317,0.437378640776699,0.1068,0.3715769230769231,0.48719300764304896,0.5158,Buy low,264,0.1812,0.1814,0.32897727272727273,0.0606,2023,-0.014,-0.0503,-0.1084,-0.0462,0.0498,0.1399
572191,Michael Taylor,93,0.34,0.2037037037037037,0.12727272727272726,0.752,0.2667,0.2442,0.31881720430107524,0.043,0.32462962962962966,0.31097736157714706,-0.2068,Sell high,178,0.2708,0.2061,0.2904494382022472,0.0449,2023,-0.0692,-0.0381,-0.0284,0.0019,-0.0078,0.0804
572233,Christian Walker,111,0.2658,0.2484076433121019,0.060240963855421686,0.8049,0.2353,0.2475,0.3054054054054054,0.036,0.3179125,0.35087919807919804,0.1639,Buy low,331,0.2788,0.263,0.38761329305135955,0.0544,2023,0.013,0.0155,0.0822,0.0183,0.0455,0.0704
572761,Matt Carpenter,66,0.303,0.23880597014925373,0.2222222222222222,0.8784,0.1875,0.25,0.39999999999999997,0.0455,0.32073529411764706,0.41073526109307357,-0.0163,Neutral,141,0.1867,0.1282,0.225177304964539,0.0071,2023,-0.1164,-0.1218,-0.1748,-0.0384,0.0107,0.0707
573262,Mike Yastrzemski,102,0.3433,0.29508196721311475,0.09722222222222222,0.8519,0.2778,0.2917,0.375,0.049,0.3353611111111111,0.35849867724867723,-0.2233,Sell high,183,0.2475,0.1938,0.3005464480874317,0.0328,2023,-0.0958,-0.0979,-0.0745,-0.0162,-0.0165,0.0437
575929,Willson Contreras,104,0.3239,0.31851851851851853,0.1095890410958904,0.8346,0.087,0.2747,0.3471153846153846,0.0192,0.3455972222222222,0.3712571294162998,-0.1178,Slight sell,254,0.2925,0.2385,0.35590551181102364,0.0354,2023,-0.0314,-0.0362,0.0088,0.0162,0.0241,0.0709
592178,Kris Bryant,111,0.3462,0.1875,0.037037037037037035,0.8939,0.1579,0.297,0.36486486486486486,0.027,0.32853086419753086,0.3371230139230139,-0.2378,Sell high,164,0.2385,0.2183,0.3149390243902439,0.0305,2023,-0.1076,-0.0787,-0.0499,0.0035,-0.0277,0.0315
