pitcher,game_pk,start_ip,start_ra,start_era,qualifying,is_qs,is_disaster
593958,824855,5.0,4.0,7.2,True,False,False
593958,825097,5.0,4.0,7.2,True,False,False
593958,825103,7.0,0.0,0.0,True,True,False
593974,823314,1.0,0.0,0.0,False,False,False
593974,823316,1.3333333333333333,0.0,0.0,False,False,False
593974,823317,1.0,0.0,0.0,False,False,False
593974,823320,1.0,0.0,0.0,False,False,False
593974,823324,0.3333333333333333,3.0,81.0,False,False,False
593974,823325,1.0,0.0,0.0,False,False,False
593974,823402,1.0,0.0,0.0,False,False,False
593974,824048,1.6666666666666667,0.0,0.0,False,False,False
593974,824367,1.3333333333333333,1.0,6.75,False,False,False
593974,824781,0.3333333333333333,2.0,54.0,False,False,False
593974,824786,1.3333333333333333,2.0,13.5,False,False,False
593974,825094,0.6666666666666666,0.0,0.0,False,False,False
594580,822917,0.3333333333333333,0.0,0.0,False,False,False
594580,822919,1.0,0.0,0.0,False,False,False
594580,822995,1.3333333333333333,0.0,0.0,False,False,False
594580,823721,0.3333333333333333,1.0,27.0,False,False,False
594580,823885,2.0,0.0,0.0,True,False,False
594580,824527,1.0,0.0,0.0,False,False,False
594580,824528,0.3333333333333333,2.0,54.0,False,False,False
594580,824530,0.6666666666666666,0.0,0.0,False,False,False
594580,824533,1.6666666666666667,2.0,10.8,False,False,False
594580,824534,0.3333333333333333,0.0,0.0,False,False,False
594580,824537,1.0,0.0,0.0,False,False,False
594580,824540,1.0,0.0,0.0,False,False,False
594580,824541,1.0,0.0,0.0,False,False,False
594798,822912,5.666666666666667,1.0,1.59,True,False,False
594798,822918,4.666666666666667,1.0,1.93,True,False,False
594798,823152,3.6666666666666665,0.0,0.0,True,False,False
594798,823966,5.666666666666667,1.0,1.59,True,False,False
594798,824861,4.666666666666667,3.0,5.79,True,False,False
595014,822758,1.0,0.0,0.0,False,False,False
595014,822831,1.0,0.0,0.0,False,False,False
595014,822833,0.6666666666666666,0.0,0.0,False,False,False
595014,823962,0.6666666666666666,1.0,13.5,False,False,False
595014,823963,1.0,0.0,0.0,False,False,False
595014,823965,0.3333333333333333,0.0,0.0,False,False,False
595014,823967,0.6666666666666666,0.0,0.0,False,False,False
595014,823970,1.0,0.0,0.0,False,False,False
595014,823974,1.0,0.0,0.0,False,False,False
595014,824371,0.0,3.0,,False,False,False
595345,823155,0.6666666666666666,3.0,40.5,False,False,False
595345,823156,1.6666666666666667,0.0,0.0,False,False,False
595345,824203,1.0,0.0,0.0,False,False,False
595345,824205,0.3333333333333333,1.0,27.0,False,False,False
595345,824207,1.0,0.0,0.0,False,False,False
595345,824209,0.6666666666666666,0.0,0.0,False,False,False
595345,824210,1.0,0.0,0.0,False,False,False
595345,824215,1.0,0.0,0.0,False,False,False
595345,824216,1.6666666666666667,0.0,0.0,False,False,False
595345,824375,1.0,0.0,0.0,False,False,False
595345,824449,0.6666666666666666,0.0,0.0,False,False,False
595345,824450,1.0,0.0,0.0,False,False,False
595345,825025,0.3333333333333333,3.0,81.0,False,False,False
595345,825027,1.0,0.0,0.0,False,False,False
595978,824938,0.3333333333333333,0.0,0.0,False,False,False
596001,822910,1.0,0.0,0.0,False,False,False
596001,822912,1.0,0.0,0.0,False,False,False
596001,822914,1.0,0.0,0.0,False,False,False
596001,822916,1.0,0.0,0.0,False,False,False
596001,822918,1.0,0.0,0.0,False,False,False
596001,822919,1.0,0.0,0.0,False,False,False
596001,823150,1.0,0.0,0.0,False,False,False
596001,823488,2.0,0.0,0.0,True,False,False
596001,823966,1.0,0.0,0.0,False,False,False
596001,824861,1.0,0.0,0.0,False,False,False
596001,824863,1.0,0.0,0.0,False,False,False
596001,825023,1.3333333333333333,0.0,0.0,False,False,False
596133,823078,1.0,0.0,0.0,False,False,False
596133,823238,1.0,0.0,0.0,False,False,False
596133,823637,0.6666666666666666,0.0,0.0,False,False,False
596133,823641,1.3333333333333333,0.0,0.0,False,False,False
596133,823644,1.0,4.0,36.0,False,False,False
596133,823645,0.6666666666666666,4.0,54.0,False,False,False
596133,823647,1.0,0.0,0.0,False,False,False
596133,823648,1.0,0.0,0.0,False,False,False
596133,823651,1.0,0.0,0.0,False,False,False
596133,824691,1.3333333333333333,0.0,0.0,False,False,False
596133,824694,0.6666666666666666,0.0,0.0,False,False,False
601713,823317,3.0,0.0,0.0,True,False,False
601713,823321,5.0,0.0,0.0,True,False,False
601713,823325,3.0,6.0,18.0,True,False,True
601713,823402,5.0,2.0,3.6,True,False,False
605130,822838,1.0,1.0,9.0,False,False,False
