batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA
500743,Miguel Rojas,44,0.394,0.412,0.088,0.206,87.06470588235294,0.8,0.167,0.412,0.326,0.429,0.171,0.068,0.136,0.5,0.403,0.368
663368,Blake Perkins,44,0.2,0.4,0.04,0.08,86.88,0.827,0.0,0.4,0.333,0.346,0.346,0.114,0.273,0.417,0.247,0.244
666181,Will Benson,44,0.24,0.261,0.0,0.043,88.68695652173913,0.737,0.0,0.4,0.271,0.28,0.4,0.182,0.25,0.727,0.267,0.251
543510,James Mccann,43,0.286,0.393,0.071,0.107,90.51428571428572,0.872,0.0,0.143,0.467,0.586,0.207,0.023,0.302,0.077,0.213,0.205
669134,Luis Campusano,43,0.393,0.548,0.129,0.323,87.47096774193548,0.839,0.375,0.452,0.346,0.387,0.258,0.07,0.209,0.333,0.497,0.419
672761,Wenceel Pérez,43,0.083,0.486,0.108,0.135,90.88648648648649,0.981,0.083,0.514,0.215,0.405,0.324,0.047,0.093,0.5,0.142,0.338
680728,Adrian Del castillo,43,0.345,0.379,0.069,0.207,88.31379310344828,0.855,0.143,0.3,0.309,0.433,0.233,0.023,0.279,0.083,0.317,0.291
665561,Rafael Marchán,43,0.1,0.258,0.032,0.0,87.43870967741935,0.918,0.083,0.419,0.319,0.258,0.387,0.0,0.233,0.0,0.163,0.217
663698,Joey Bart,42,0.238,0.318,0.091,0.091,85.09545454545454,0.796,0.091,0.364,0.319,0.409,0.5,0.048,0.405,0.118,0.235,0.24
608701,Rob Refsnyder,42,0.111,0.414,0.103,0.241,87.77931034482758,0.891,0.2,0.345,0.183,0.241,0.345,0.095,0.214,0.444,0.226,0.33
664954,Brett Sullivan,42,0.312,0.281,0.0,0.125,86.003125,0.873,0.0,0.438,0.386,0.438,0.219,0.024,0.214,0.111,0.264,0.243
457705,Andrew Mccutchen,41,0.286,0.273,0.091,0.091,89.01363636363637,0.736,0.143,0.364,0.263,0.409,0.318,0.073,0.39,0.187,0.24,0.237
687093,Vaughn Grissom,41,0.375,0.375,0.062,0.156,88.190625,1.0,0.0,0.438,0.23,0.485,0.333,0.146,0.049,3.0,0.417,0.375
672515,Gabriel Moreno,41,0.367,0.467,0.1,0.167,88.08999999999999,0.85,0.0,0.333,0.404,0.233,0.333,0.073,0.171,0.429,0.352,0.365
624641,Edmundo Sosa,40,0.31,0.4,0.067,0.167,89.41666666666667,0.872,0.333,0.433,0.444,0.533,0.1,0.05,0.2,0.25,0.314,0.328
664034,Ty France,40,0.267,0.531,0.188,0.188,90.753125,0.839,0.429,0.364,0.276,0.515,0.212,0.05,0.1,0.5,0.44,0.486
656537,Derek Hill,39,0.35,0.35,0.05,0.05,79.47999999999999,0.889,0.333,0.571,0.321,0.545,0.136,0.128,0.308,0.417,0.308,0.363
641933,Tyler O'neill,39,0.25,0.4,0.04,0.12,88.83200000000001,0.787,0.1,0.48,0.231,0.28,0.4,0.051,0.256,0.2,0.262,0.265
657136,Connor Wong,39,0.333,0.407,0.037,0.111,87.68148148148148,0.905,0.0,0.148,0.359,0.393,0.357,0.103,0.154,0.667,0.347,0.287
595978,Austin Hedges,39,0.357,0.393,0.0,0.036,86.15357142857144,0.894,0.0,0.536,0.317,0.571,0.143,0.077,0.205,0.375,0.326,0.307
676694,Jake Meyers,39,0.296,0.357,0.143,0.179,88.41071428571429,0.891,0.143,0.357,0.315,0.393,0.25,0.077,0.179,0.429,0.349,0.353
641598,Mitch Garver,39,0.333,0.619,0.095,0.143,90.94285714285714,0.787,0.0,0.524,0.25,0.524,0.333,0.179,0.282,0.636,0.319,0.32
