Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Miguel Gil,,0.039999999,0.057700001,0,6.000390172,1,0,0,0,,1,4.787000179,1.078999996,0.710200012,0.666710019,0.145222217,0.779200017,0.0276,0.059700001,0.685299993,6.167699933,7.012800157,0.879491757,1.306999952,0.143158548,0.162774178,-0.01961563,0.273296004,1.858200014,0.299520267,0.693702154,0.428005396,,6.200468668,-0.020996193,,,,,,,,,1.662266672,1.662266672,1.966011111,1.966011111,,,,,,,,,,,,,,,,,,,Miguel Gil,sa3015329,683476
Johander Rubio,,0.0261,0.095600002,0.020099999,7.347330093,0.210899994,0.167899996,0,0,,1,4.977000237,1.182399988,0.859899998,0.81637001,0.188777775,0.875,0.0045,0.049800001,0.501299977,4.511699796,7.875,0.57291426,1.698999971,0.100723318,0.175808712,-0.075085394,0.291792093,2.057399988,0.29553421,0.667833682,0.389003306,,7.392390896,-0.020999922,,,,,,,,,0.231993355,0.231993355,0.774088882,0.774088882,,,,,,,,,,,,,,,,,,,Johander Rubio,sa3022027,808385
Jose Jimenez,,0.040399998,0.057300001,0,5.899230123,1,0,0,0,,1,4.756999969,1.104900002,0.698099971,0.655470014,0.148777783,0.724300027,0.0275,0.050700001,0.611400008,5.502600074,6.518700242,0.844125342,1.339000046,0.128526385,0.152259834,-0.02373345,0.277473636,1.829200029,0.296764432,0.697817441,0.410998801,,6.202791025,-0.021021881,,,,,,,,,1.595093195,1.595093195,1.963688754,1.963688754,,,,,,,,,,,,,,,,,,,Jose Jimenez,sa3011595,687664
Luis Talavera,,0.039999999,0.057799999,0,5.9696998,1,0,0,0,,1,4.765999794,1.168099999,0.711300015,0.663299978,0.134333327,0.702899992,0.0275,0.049400002,0.48269999,4.344299912,6.326099932,0.686726413,1.208999947,0.101279902,0.14748217,-0.046202269,0.291028243,1.870999992,0.304347418,0.689094424,0.492992514,,6.204313037,-0.021038716,,,,,,,,,1.419140072,1.419140072,1.962166741,1.962166741,,,,,,,,,,,,,,,,,,,Luis Talavera,sa3009212,682803
Enderjer Sifontes,LAA,0.035399999,0.072300002,0.0138,6.569100022,0.663600028,0.071599998,0,0,,1,4.788000107,1.158200026,0.772400022,0.729900002,0.186444446,0.70599997,0.0178,0.0484,0.585200012,5.266800106,6.353999734,0.828895235,1.678000018,0.122222222,0.147451954,-0.025229732,0.287138037,1.864199996,0.297905819,0.681022401,0.403953987,,6.683057469,-0.021047356,,,,,,,,,1.002613355,1.002613355,1.483422309,1.483422309,,,,,,,,,,,,,,,,,,,Enderjer Sifontes,sa3016458,691583
Levi Prater,,0.0405,0.0572,0,5.877629757,1,0,0,0,,1,4.784999847,1.073199987,0.695500016,0.653069973,0.144666672,0.770099998,0.0276,0.065399997,0.673300028,6.059700251,6.930899978,0.874302078,1.302000046,0.140710564,0.160940443,-0.020229879,0.271730606,1.843299985,0.296510773,0.699551013,0.408999156,,6.207046439,-0.021068949,,,,,,,,,1.670380042,1.670380042,1.95943334,1.95943334,,,,,,,,,,,,,,,,,,,Levi Prater,sa3014861,686246
Hazahel Quijada,SDP,0.041200001,0.056600001,0,5.719769955,1,0,0,0,,1,4.742000103,1.074399948,0.67930001,0.635529995,0.143333331,0.754299998,0.0274,0.055,0.614499986,5.530499876,6.788699985,0.814662585,1.289999977,0.129586667,0.1590679,-0.029481233,0.273196511,1.828699946,0.293261633,0.706005183,0.432591178,,6.2287131,-0.021073884,,,,,,,,,1.644660145,1.644660145,1.937766679,1.937766679,,,,,,,,,,,,,,,,,,,Hazahel Quijada,sa3007586,663453
Matt Wyatt,TBR,0.040600002,0.0572,0,5.827410221,1,0,0,0,,1,4.718999863,1.101699948,0.691900015,0.647490025,0.14644444,0.707099974,0.0273,0.049400002,0.648999989,5.840999901,6.363899767,0.917833422,1.317999959,0.137529139,0.149841067,-0.012311928,0.278031541,1.808799922,0.301622602,0.696418153,0.454729523,,6.041757447,-0.021077062,,,,,,,,,1.762813574,1.762813574,2.124722332,2.124722332,,,,,,,,,,,,,,,,,,,Matt Wyatt,sa3020832,687993
Edward Cedano,,0.0264,0.095100001,0.020400001,7.316729844,0.219999999,0.165999994,0,0,,1,4.993999958,1.197900057,0.85860002,0.812969983,0.177777782,0.886399984,0.0048,0.052999999,0.463499993,4.171499938,7.977599859,0.522901626,1.600000039,0.092811373,0.17749299,-0.084681617,0.29544223,2.084300041,0.298864923,0.667806787,0.4199866,,7.36879091,-0.021080239,,,,,,,,,0.207593168,0.207593168,0.797688868,0.797688868,,,,,,,,,,,,,,,,,,,Edward Cedano,sa3021792,808523
Kumar Nambiar,OAK,0.040600002,0.0601,0.0055,5.690700173,0.901899993,0.0209,0,0,,1,4.638999939,1.090999961,0.672299981,0.632300019,0.16566667,0.613799989,0.024,0.048500001,0.586300015,5.276700139,5.524199903,0.955197175,1.491000026,0.126385002,0.132312998,-0.005927996,0.274348071,1.70479995,0.286948785,0.7010139,0.381694704,,6.134446424,-0.021084041,,,,,,,,,1.711400124,1.711400124,2.032033354,2.032033354,,,,,,,,,,,,,,,,,,,Kumar Nambiar,sa3010666,687643
