player_name,player_name_norm,team,primary_position,all_positions,fp_ros_rank,fp_pos_rank
Hyeseong Kim,hyeseong kim,LAD,2B,"2B,SS,CF",434,2B34
Ty France,ty france,SD,1B,1B,435,1B33
Jeff McNeil,jeff mcneil,ATH,2B,"2B,LF,CF,RF",436,2B35
Mick Abel,mick abel,MIN,P,SP,437,SP119
Sam Antonacci,sam antonacci,CWS,2B,"2B,3B,LF",438,2B36
Noelvi Marte,noelvi marte,CIN,3B,"3B,RF",439,3B23
Jake Irvin,jake irvin,WSH,P,SP,440,SP120
Tyler Phillips,tyler phillips,MIA,P,RP,441,RP48
Dominic Smith,dominic smith,ATL,1B,"1B,DH",442,1B34
Jose Quintana,jose quintana,COL,P,SP,443,SP121
Nathaniel Lowe,nathaniel lowe,CIN,1B,"1B,DH",444,1B35
Tyler O'Neill,tyler o'neill,BAL,OF,"LF,RF",445,OF70
Yusei Kikuchi,yusei kikuchi,LAA,P,SP,446,SP122
Amed Rosario,amed rosario,NYY,2B,"2B,3B",447,2B37
Kumar Rocker,kumar rocker,TEX,P,SP,448,SP123
Brett Baty,brett baty,NYM,3B,"1B,2B,3B,RF",449,3B24
Matt Strahm,matt strahm,KC,P,RP,450,RP49
Chase Meidroth,chase meidroth,CWS,3B,"2B,3B,SS",451,3B25
Bryan King,bryan king,HOU,P,RP,452,RP50
Rhett Lowder,rhett lowder,CIN,P,SP,453,SP124
Ian Seymour,ian seymour,TB,P,"SP,RP",454,"SP,RP36"
Joe Musgrove,joe musgrove,SD,P,SP,455,SP125
Nolan Gorman,nolan gorman,STL,2B,"2B,3B,DH",456,2B38
Robby Snelling,robby snelling,MIA,P,SP,457,SP126
Ha-Seong Kim,ha-seong kim,ATL,SS,"2B,SS",458,SS30
Joey Ortiz,joey ortiz,MIL,SS,SS,459,SS31
Andrew Benintendi,andrew benintendi,CWS,OF,"LF,DH",460,OF71
Cedric Mullins II,cedric mullins ii,TB,OF,CF,461,OF72
Jake Cronenworth,jake cronenworth,SD,2B,"1B,2B,SS",462,2B39
Brady Singer,brady singer,CIN,P,SP,463,SP127
Matt Wallner,matt wallner,MIN,OF,"LF,RF",464,OF73
Jesus Sanchez,jesus sanchez,TOR,OF,"LF,CF,RF,DH",465,OF74
Connor Norby,connor norby,MIA,3B,"1B,3B,DH",466,3B26
Carson Benge,carson benge,NYM,OF,"LF,CF,RF",467,OF75
Michael Massey,michael massey,KC,2B,"2B,LF",468,2B40
Jordan Romano,jordan romano,COL,P,RP,469,RP51
Owen Caissie,owen caissie,MIA,OF,"CF,RF",470,OF76
Isaac Collins,isaac collins,KC,LF,"LF,RF",471,LF1
Colt Emerson,colt emerson,SEA,SS,SS,472,SS32
Victor Scott,victor scott,STL,OF,CF,473,OF77
Spencer Steer,spencer steer,CIN,1B,"1B,LF,RF",474,1B36
Clayton Beeter,clayton beeter,WSH,P,RP,475,RP52
Brandon Pfaadt,brandon pfaadt,ARI,P,"SP,RP",476,"SP,RP37"
Gavin Sheets,gavin sheets,SD,1B,"1B,LF,RF,DH",477,1B37
Lane Thomas,lane thomas,KC,OF,"LF,CF,RF",478,OF78
Kodai Senga,kodai senga,NYM,P,SP,479,SP128
Luis Rengifo,luis rengifo,MIL,2B,"2B,3B,OF",480,2B41
Lenyn Sosa,lenyn sosa,TOR,2B,"1B,2B,DH",481,2B42
Shane Smith,shane smith,CWS,P,SP,482,SP129
Dylan Crews,dylan crews,WSH,OF,"CF,RF",483,OF79
Dylan Beavers,dylan beavers,BAL,OF,"LF,CF,RF,DH",484,OF80
Kyle Finnegan,kyle finnegan,DET,P,RP,485,RP53
Victor Vodnik,victor vodnik,COL,P,RP,486,RP54
Robert Garcia,robert garcia,TEX,P,RP,487,RP55
Austin Hays,austin hays,CWS,OF,"LF,DH",488,OF81
Cristian Javier,cristian javier,HOU,P,SP,489,SP130
Didier Fuentes,didier fuentes,ATL,P,"SP,RP",490,"SP,RP38"
Jacob Lopez,jacob lopez,ATH,P,SP,491,SP131
Harrison Bader,harrison bader,SF,OF,"LF,CF,RF",492,OF82
JoJo Romero,jojo romero,STL,P,RP,493,RP56
Ben Joyce,ben joyce,LAA,P,RP,494,RP57
Josh Smith,josh smith,TEX,SS,"1B,2B,3B,SS,LF,RF",495,SS33
Will Vest,will vest,DET,P,RP,496,RP58
Kirby Yates,kirby yates,LAA,P,RP,497,RP59
Cole Sands,cole sands,MIN,P,"SP,RP",498,"SP,RP39"
