name,team,fpts,GP,R,HR,RBI,AVG,SB,year
Luis Urias,ATH,62.0,41,11.0,4.0,16.0,0.191,,2024
Trevor Story,BOS,59.5,26,8.0,2.0,10.0,0.255,6.0,2024
Brett Harris,ATH,57.5,36,15.0,3.0,12.0,0.146,,2024
Tim Anderson,LAA,55.0,65,16.0,,9.0,0.214,4.0,2024
Tomas Nido,DET,54.5,49,14.0,4.0,12.0,0.192,,2024
Riley Adams,WAS,53.5,41,10.0,2.0,8.0,0.224,1.0,2024
Will Wagner,SD,52.0,24,8.0,2.0,11.0,0.305,,2024
Alex Jackson,MIN,51.5,58,17.0,3.0,12.0,0.122,1.0,2024
Brooks Baldwin,CHW,51.5,33,9.0,2.0,8.0,0.211,4.0,2024
Curt Casali,ATL,51.0,41,12.0,1.0,8.0,0.194,,2024
Bryan Ramos,BAL,51.0,32,13.0,3.0,11.0,0.202,,2024
Christian Encarnacion-Strand,BAL,50.5,29,13.0,2.0,16.0,0.19,,2024
Jose Herrera,TEX,50.5,42,11.0,1.0,13.0,0.227,,2024
Nasim Nunez,WAS,49.5,51,14.0,,1.0,0.246,8.0,2024
Curtis Mead,WAS,49.0,38,10.0,1.0,7.0,0.238,2.0,2024
Darell Hernaiz,ATH,48.5,48,8.0,1.0,12.0,0.192,1.0,2024
Jacob Wilson,ATH,47.0,28,11.0,,3.0,0.25,,2024
Eric Haase,SF,47.0,30,10.0,5.0,14.0,0.273,,2024
Michael Stefanic,TOR,47.0,40,8.0,,8.0,0.218,,2024
Nick Sogard,BOS,46.5,31,13.0,,8.0,0.273,3.0,2024
Jon Berti,CHC,46.0,25,10.0,1.0,6.0,0.273,5.0,2024
Ryan Bliss,SEA,46.0,33,10.0,2.0,9.0,0.222,5.0,2024
Luke Maile,KC,45.0,55,8.0,2.0,8.0,0.178,2.0,2024
Niko Kavadas,LAA,44.5,30,11.0,4.0,8.0,0.183,1.0,2024
Austin Hedges,CLE,44.0,66,12.0,2.0,15.0,0.152,2.0,2024
Leonardo Rivas,SEA,43.0,43,10.0,,8.0,0.233,3.0,2024
Rafael Marchan,PHI,42.0,17,8.0,3.0,6.0,0.294,,2024
Oliver Dunn,CHW,42.0,41,11.0,1.0,7.0,0.221,3.0,2024
Nick Madrigal,LAA,41.0,51,5.0,,10.0,0.221,1.0,2024
Jace Jung,DET,40.5,34,14.0,,3.0,0.241,,2024
Garrett Cooper,ATL,40.5,36,6.0,1.0,11.0,0.206,,2024
Aaron Schunk,ATL,39.5,39,14.0,2.0,7.0,0.234,,2024
Eric Wagaman,MIN,38.5,18,6.0,2.0,10.0,0.25,,2024
Miles Mastrobuoni,SEA,37.5,50,9.0,,4.0,0.194,2.0,2024
Tucker Barnhart,TEX,35.5,31,13.0,,6.0,0.173,1.0,2024
Martin Maldonado,SD,34.5,48,9.0,4.0,11.0,0.119,,2024
Miguel Sano,LAA,34.0,28,9.0,2.0,6.0,0.205,,2024
Zack Short,HOU,34.0,42,11.0,,5.0,0.129,2.0,2024
Luisangel Acuna,CHW,34.0,14,6.0,3.0,6.0,0.308,,2024
Bligh Madris,STL,33.0,21,8.0,1.0,5.0,0.269,,2024
Eguy Rosario,SD,32.0,30,5.0,3.0,6.0,0.245,,2024
Jose Abreu,HOU,31.0,35,10.0,2.0,7.0,0.124,,2024
Drew Millas,WAS,31.0,20,7.0,1.0,1.0,0.246,4.0,2024
Jared Walsh,CHW,29.5,17,9.0,1.0,7.0,0.226,,2024
Nick Allen,HOU,29.0,41,6.0,1.0,4.0,0.175,,2024
Luke Williams,ATL,28.5,37,8.0,,4.0,0.196,3.0,2024
Ryan Noda,BAL,28.5,36,8.0,1.0,4.0,0.137,,2024
Henry Davis,PIT,27.5,37,9.0,1.0,5.0,0.144,,2024
Dillon Dingler,DET,27.0,27,2.0,1.0,11.0,0.167,,2024
Marco Luciano,NYY,26.0,27,10.0,,3.0,0.211,,2024
Braden Shewmake,HOU,26.0,29,4.0,1.0,4.0,0.125,5.0,2024
Rene Pinto,PHI,25.0,19,5.0,2.0,6.0,0.214,,2024
Nick Yorke,PIT,25.0,11,4.0,2.0,5.0,0.216,2.0,2024
Charles Leblanc,ATL,24.5,11,6.0,2.0,6.0,0.19,,2024
Andrew Knizner,SEA,24.0,37,5.0,1.0,9.0,0.167,,2024
Cesar Salazar,HOU,24.0,12,5.0,,8.0,0.32,,2024
Austin Shenton,SEA,24.0,19,3.0,1.0,3.0,0.214,,2024
Cole Tucker,LAA,23.5,25,3.0,,3.0,0.18,3.0,2024
David Bote,LAD,23.5,37,4.0,,6.0,0.304,,2024
Bobby Dalbec,CHW,23.5,37,6.0,1.0,8.0,0.133,3.0,2024
Tyler Black,MIL,23.5,18,4.0,,2.0,0.204,3.0,2024
Yoan Moncada,LAA,21.5,12,4.0,,,0.275,1.0,2024
Yan Gomes,CHC,21.0,34,7.0,2.0,7.0,0.154,,2024
Ali Sanchez,BOS,21.0,31,5.0,,4.0,0.167,2.0,2024
Chadwick Tromp,ATL,20.5,19,3.0,,6.0,0.25,,2024
Thomas Saggese,STL,20.0,18,5.0,1.0,4.0,0.204,,2024
Mason McCoy,SD,19.5,19,7.0,,3.0,0.204,1.0,2024
Brian Serven,ATH,19.0,28,6.0,,3.0,0.159,,2024
Omar Narvaez,HOU,18.0,28,4.0,,5.0,0.154,,2024
David Villar,SF,17.5,11,3.0,1.0,4.0,0.257,,2024
Blake Sabol,BOS,17.5,11,3.0,,1.0,0.313,,2024
Jason Delay,BOS,16.0,7,1.0,,6.0,0.2,,2024
Tyler Locklear,ARI,16.0,16,3.0,2.0,3.0,0.156,1.0,2024
Austin Wynns,ATH,14.5,7,3.0,,2.0,0.368,,2024
Javier Sanoja,MIA,14.0,15,3.0,,2.0,0.229,,2024
Logan Driscoll,TB,14.0,15,2.0,1.0,5.0,0.171,,2024
Drew Romo,CHW,14.0,16,4.0,,6.0,0.176,,2024
Jacob Amaya,ARI,12.0,24,4.0,,3.0,0.176,1.0,2024
Seby Zavala,LAD,12.0,18,4.0,1.0,2.0,0.154,,2024
Jhonny Pereda,SEA,11.0,20,2.0,,4.0,0.231,,2024
Jason Vosler,SEA,10.5,10,2.0,,3.0,0.179,,2024
Tom Murphy,SF,10.0,13,3.0,1.0,2.0,0.118,,2024
Alan Trejo,COL,9.5,28,4.0,,1.0,0.143,,2024
Jonathan Ornelas,ATL,9.5,18,1.0,,3.0,0.216,,2024
Brett Sullivan,COL,8.0,7,1.0,1.0,2.0,0.188,,2024
Hunter Feduccia,TB,8.0,5,2.0,,1.0,0.333,,2024
Oswald Peraza,LAA,7.5,4,2.0,1.0,1.0,0.2,,2024
Chuckie Robinson,LAD,7.0,26,2.0,,,0.129,,2024
Jakson Reetz,SEA,6.5,6,1.0,1.0,1.0,0.143,,2024
Matt Mervis,WAS,5.0,9,1.0,,3.0,0.115,,2024
Jace Peterson,ARI,4.0,14,2.0,,1.0,0.045,,2024
Tyler Heineman,TOR,4.0,8,2.0,,,0.083,,2024
Liover Peguero,PIT,3.5,3,,,2.0,0.2,,2024
Aledmys Diaz,HOU,2.5,14,2.0,,1.0,0.091,,2024
Luis Vazquez,BAL,2.0,11,2.0,,1.0,0.083,,2024
Mickey Gasper,BOS,2.0,13,1.0,,,0.0,,2024
Carlos Narvaez,BOS,2.0,6,,,,0.231,,2024
Vinny Capra,BOS,1.5,3,1.0,,,0.111,,2024
Jair Camargo,ATL,0.5,5,1.0,,,0.0,,2024
Kevin Smith,NYY,0.0,2,,,,,,2024
Rob Brantly,MIA,0.0,3,,,,0.111,,2024
Andrew Knapp,SF,0.0,3,,,,0.167,,2024
Joe Hudson,HOU,0.0,1,,,,,,2024
Sam Huff,BAL,0.0,3,,,,0.0,,2024
Eric Yang,CIN,-0.5,1,,,,0.0,,2024
Grant Koch,PIT,-1.0,3,1.0,,,0.0,,2024
Aramis Garcia,ARI,-1.5,3,,,,0.0,,2024
