player_type,mlbam_id,name,verdict,luck_score,trend_dir,trend_score,trend_score_final,n_layers,recent_pa,prior_pa,l1_gap_delta,l2_cq_score,babip_delta,l4_pd_score,bs_delta_mph,bs_flag,recent_xwoba_gap,prior_xwoba_gap,hh_delta_pp,brl_delta_pp,ev_delta_mph,recent_babip,prior_babip,layer6_modifier,worst_pitch_vulnerability,worst_pitch_delta,vulnerability_severity,approach_change_flag,barrel_supported,ld_delta_pp,fb_delta_pp,barrel_delta_pp,layer6_notes
pitcher,681517,Kyle Leahy,Sell high,-0.2087,Hot,0.1221,0.1221,5,71,87,0.1546,-0.0630,-0.0870,-0.0180,-0.2616,False,-0.1066,0.0479,1.3157,-0.0858,2.8356,0.2617,0.3487,0.0000,,,n/a,False,True,,,,
pitcher,700712,Walbert Urena,Slight sell,-0.1133,Hot,0.1182,0.1182,5,85,45,0.1288,-0.0779,-0.1729,0.0042,-0.6518,False,-0.0391,0.0897,5.5336,3.5804,1.9745,0.1742,0.3471,0.0000,,,n/a,False,True,,,,
pitcher,656849,David Peterson,Buy low,0.7474,Hot,0.1142,0.1142,5,78,76,0.0120,0.1260,0.0637,0.0362,0.2906,False,-0.0040,0.0080,-14.2073,0.3966,-2.8082,0.4036,0.3399,0.0000,,,n/a,False,True,,,,
pitcher,693821,Bryce Elder,Sell high,-0.3306,Hot,0.1140,0.1140,5,103,99,0.0175,0.0510,-0.0203,0.0384,0.9468,False,-0.0431,-0.0256,-1.3511,0.0592,-2.2224,0.1967,0.2170,0.0000,,,n/a,False,True,,,,
hitter,668227,Randy Arozarena,Sell high,-0.4556,Hot,0.1123,0.1123,5,80,79,-0.0109,0.1631,-0.0012,-0.0344,0.3467,False,-0.0766,-0.0657,18.6181,-1.4227,3.7145,0.4134,0.4146,0.0000,Cutter,-0.7000,none,False,False,2.3000,-9.3000,-3.8000,
pitcher,681293,Spencer Arrighetti,Sell high,-0.3147,Hot,0.0977,0.0977,5,74,78,0.0242,0.0704,0.0063,-0.0646,1.7343,False,-0.0931,-0.0689,-4.3051,-0.8463,-2.3159,0.2394,0.2331,0.0000,,,n/a,False,True,,,,
hitter,701538,Jackson Merrill,Buy low,0.2160,Hot,0.2396,0.0896,5,71,81,0.0258,0.2422,0.0141,0.0281,0.0114,False,0.0608,0.0350,13.7507,-5.1521,9.4436,0.2594,0.2453,-0.1500,Cutter,-12.0000,severe,False,False,2.5000,-3.7000,-2.4000,Severe Cutter vulnerability (Δ-12.0/100)
pitcher,660853,Enyel De los santos,Sell high,-0.2451,Hot,0.0894,0.0894,5,33,42,0.1455,-0.1766,-0.0040,0.0512,1.9323,False,-0.0445,0.1010,18.6819,-5.6911,5.0151,0.3040,0.3080,0.0000,,,n/a,False,True,,,,
hitter,621020,Dansby Swanson,Buy low,0.2867,Hot,0.1376,0.0876,5,66,78,0.0869,0.0336,0.0015,-0.0370,1.3909,False,0.0602,-0.0267,7.4786,-6.0509,0.7198,0.1906,0.1891,-0.0500,Changeup,-4.0000,mild,False,False,-5.3000,3.5000,-1.4000,Mild Changeup vulnerability (Δ-4.0/100)
hitter,683357,Owen Caissie,Slight sell,-0.0954,Hot,0.0861,0.0861,5,37,63,0.0098,0.0011,-0.0352,0.0705,1.8102,False,0.0492,0.0394,-14.7064,5.8725,2.8503,0.2703,0.3055,0.0000,,,none,False,True,11.3000,-7.1000,,
pitcher,677960,Ryan Weathers,Slight sell,-0.1167,Hot,0.0822,0.0822,5,67,99,-0.0013,0.0693,-0.0750,0.0002,-0.0685,False,-0.0358,-0.0371,-7.9437,-7.9637,-0.2822,0.2021,0.2771,0.0000,,,n/a,False,True,,,,
hitter,669224,Austin Wells,Buy low,0.2729,Hot,0.1817,0.0817,5,46,55,0.0555,0.2026,0.0803,-0.1954,0.9892,False,0.0892,0.0337,18.8877,12.3614,3.5543,0.2560,0.1757,-0.1000,Sinker,-5.5000,moderate,False,False,-2.6000,-3.1000,-3.4000,Moderate Sinker vulnerability (Δ-5.5/100)
pitcher,670036,Matt Festa,Buy low,0.3417,Hot,0.0811,0.0811,5,30,41,0.0240,0.0217,-0.0323,-0.0070,1.0150,False,-0.0023,0.0216,-9.1196,4.9377,0.4560,0.2333,0.2656,0.0000,,,n/a,False,True,,,,
pitcher,656546,Jeff Hoffman,Buy low,0.3237,Hot,0.0771,0.0771,5,36,38,-0.0327,0.1238,-0.0457,-0.0428,0.4615,False,0.1239,0.0913,-6.4181,3.3577,-5.0898,0.5026,0.5484,0.0000,,,n/a,False,True,,,,
hitter,682177,Daniel Schneemann,Sell high,-0.2133,Hot,0.0750,0.0750,5,58,55,0.1652,-0.0414,-0.3527,0.0321,2.2627,False,0.0576,-0.1077,-2.4405,-9.7781,0.0059,0.2321,0.5848,0.0000,Sinker,-1.2000,none,False,True,9.4000,-3.4000,-1.0000,
pitcher,669461,Matthew Liberatore,Neutral,0.0000,Hot,0.0648,0.0648,5,68,64,0.0729,0.0118,0.0562,0.0436,-0.5630,False,-0.0499,0.0230,-1.0228,0.6542,-0.4345,0.3531,0.2969,0.0000,,,n/a,False,True,,,,
pitcher,677958,Kumar Rocker,Sell high,-0.3449,Hot,0.0613,0.0613,5,79,92,0.0231,0.0852,-0.0010,-0.0144,-0.7728,False,-0.0487,-0.0256,-12.1109,-2.8398,-0.8061,0.2796,0.2806,0.0000,,,n/a,False,True,,,,
hitter,670541,Yordan Álvarez,Buy low,0.2293,Hot,0.1110,0.0610,5,83,80,0.0455,0.0936,0.0285,-0.0965,0.9141,False,0.0663,0.0208,12.9364,-3.5865,1.9845,0.3544,0.3258,-0.0500,Slider,-3.8000,mild,False,True,7.9000,3.7000,0.3000,Mild Slider vulnerability (Δ-3.8/100)
