name,mlbam_id,april_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,model_hr,model_r,model_rbi,model_avg,model_woba,signal_hr,signal_avg,signal_woba,steamer_hr,steamer_r,steamer_rbi,steamer_avg,steamer_woba,zips_hr,zips_r,zips_rbi,zips_avg,zips_woba
Santiago Espinal,669289,70.0,nan,25.0,16.0,0.243,0.2614035087719298,0.0,62.4,50.4,0.312,0.33714285714285713,10.799999999999999,63.599999999999994,55.199999999999996,0.275,0.32757142857142857,9.6,60.0,51.6,0.253,0.29399,9.6,0.253,0.29399,3.7709999084472656,22.87070083618164,21.77899932861328,0.26583198400017494,0.30687390538947484,6.0,38.0,39.0,0.2607449856733524,0.29993831309290864
Michael Toglia,669911,112.0,11.0,22.0,32.0,0.19,0.28577981651376144,14.399999999999999,54.0,51.6,0.219,0.26473214285714286,16.8,58.8,55.199999999999996,0.234,0.2913660714285714,13.2,51.6,48.0,0.205,0.27965,13.2,0.205,0.27965,22.218599319458008,57.50490188598633,62.366798400878906,0.22815698483620642,0.3236679934401702,25.0,70.0,75.0,0.22554890219560877,0.31822738342556184
Thomas Saggese,695336,44.0,2.0,25.0,25.0,0.258,nan,12.0,75.6,69.6,0.341,0.375,16.8,67.2,62.4,0.277,0.34650000000000003,10.799999999999999,54.0,48.0,0.222,0.27081,10.799999999999999,0.222,0.27081,6.753499984741211,25.53499984741211,27.101499557495117,0.24164967551123642,0.2954061057801888,15.0,71.0,73.0,0.24489795918367346,0.2976991438129549
Curtis Mead,678554,42.0,3.0,26.0,19.0,0.233,nan,0.0,32.4,24.0,0.15,0.1988095238095238,12.0,52.8,46.8,0.216,0.2584047619047619,12.0,58.8,51.6,0.242,0.27663,12.0,0.242,0.27663,5.917399883270264,27.079599380493164,27.14310073852539,0.2616949554114295,0.3187331957036054,11.0,59.0,61.0,0.26258205689277897,0.31687091125382316
Nick Fortes,663743,24.0,5.0,19.0,21.0,0.229,nan,0.0,58.8,54.0,0.3,0.3208333333333333,14.399999999999999,61.199999999999996,56.4,0.258,0.3194166666666667,15.6,57.599999999999994,54.0,0.224,0.28378,15.6,0.224,0.28378,7.613900184631348,31.11750030517578,31.96489906311035,0.23937733727290186,0.2909979108317601,7.0,36.0,34.0,0.22950819672131148,0.27674248895129644
Henry Davis,680779,24.0,7.0,25.0,22.0,0.167,0.26372549019607844,22.8,43.199999999999996,49.199999999999996,0.15,0.2625,19.2,58.8,56.4,0.228,0.29025,12.0,49.199999999999996,44.4,0.194,0.26943,12.0,0.194,0.26943,2.9748001098632812,11.551400184631348,11.273699760437012,0.22573600445184602,0.30258459421880113,13.0,49.0,54.0,0.23249299719887956,0.3156910562220915
Max Schuemann,680474,31.0,2.0,20.0,13.0,0.197,nan,0.0,49.199999999999996,39.6,0.241,0.2935483870967742,13.2,58.8,52.8,0.246,0.3057741935483871,10.799999999999999,54.0,46.8,0.22,0.28153,10.799999999999999,0.22,0.28153,2.3452000617980957,14.796299934387207,12.155799865722656,0.21669867806993806,0.2818459628581251,6.0,58.0,44.0,0.22139303482587064,0.2870735655827769
Riley Adams,656180,18.0,8.0,29.0,24.0,0.186,nan,31.2,54.0,61.199999999999996,0.176,0.23055555555555557,20.4,62.4,58.8,0.237,0.2742777777777778,13.2,55.199999999999996,50.4,0.22,0.27613,13.2,0.22,0.27613,4.339900016784668,15.137399673461914,15.720499992370605,0.22580851410651667,0.2984371872650783,9.0,27.0,35.0,0.22265625,0.3042274976356162
Oswald Peraza,672724,36.0,5.0,24.0,20.0,0.164,nan,15.6,52.8,49.199999999999996,0.206,0.2638888888888889,16.8,60.0,55.199999999999996,0.237,0.29094444444444445,13.2,55.199999999999996,49.199999999999996,0.218,0.28044,13.2,0.218,0.28044,5.990300178527832,22.22130012512207,21.290800094604492,0.23278979510540254,0.30020335367648265,14.0,59.0,58.0,0.23218390804597702,0.29553835137618634
Ezequiel Duran,677649,15.0,nan,16.0,14.0,0.224,nan,0.0,28.799999999999997,26.4,0.15,0.0,15.6,55.199999999999996,50.4,0.216,0.159,9.6,57.599999999999994,51.6,0.244,0.26562,9.6,0.244,0.26562,4.712800025939941,19.34320068359375,20.003299713134766,0.25456802927181343,0.3036260434438779,11.0,52.0,51.0,0.24465558194774348,0.2958043994766117
Justin Turner,457759,52.0,3.0,14.0,18.0,0.219,nan,0.0,38.4,26.4,0.167,0.2326923076923077,12.0,54.0,46.8,0.22,0.27534615384615385,13.2,64.8,56.4,0.266,0.3225,13.2,0.266,0.3225,7.329100131988525,34.02090072631836,33.91510009765625,0.25354008065203926,0.316857639356622,11.0,54.0,51.0,0.25240384615384615,0.3143366806617769
