mlbam_id,xwoba_gap,babip_allowed,pa,year
623352,-0.0592,0.125,34.0,2022
623451,0.0366,0.2308,22.0,2022
623465,0.0017,0.2273,33.0,2022
623474,0.0307,0.3415,48.0,2022
623485,0.036,0.2857,42.0,2022
624133,0.0392,0.2727,82.0,2022
624418,-0.0677,0.2,11.0,2022
624427,0.0,0.1667,,2022
624522,-0.0193,0.2273,60.0,2022
625643,-0.022,0.3333,30.0,2022
628452,-0.0139,0.1053,31.0,2022
628708,-0.0095,0.2353,26.0,2022
628711,-0.006,0.2203,71.0,2022
640444,0.0008,0.25,63.0,2022
640448,-0.0154,0.2273,33.0,2022
640451,-0.0281,0.3333,9.0,2022
640455,-0.0334,0.2581,120.0,2022
640462,-0.0077,0.2941,35.0,2022
641154,-0.0473,0.2639,85.0,2022
641302,0.0097,0.283,57.0,2022
641312,0.0,0.1111,,2022
641329,-0.0705,0.3462,35.0,2022
641360,0.0104,0.125,12.0,2022
641386,0.0,0.0,,2022
641394,0.0761,0.5,37.0,2022
641401,0.092,0.3,9.0,2022
641447,0.0486,0.5,10.0,2022
641482,0.0273,0.2941,78.0,2022
641501,0.0111,0.1765,18.0,2022
641540,0.0053,0.3294,111.0,2022
641582,-0.022,0.2308,36.0,2022
641620,0.0,0.5833,,2022
641627,-0.0216,0.25,31.0,2022
641682,0.058,0.5,18.0,2022
641709,0.0,0.4,,2022
641712,-0.0629,0.1731,77.0,2022
641726,-0.012,0.25,79.0,2022
641729,0.0374,0.3043,36.0,2022
641743,-0.0425,0.4,10.0,2022
641745,-0.0364,0.1905,90.0,2022
641755,0.0103,0.25,38.0,2022
641771,-0.0652,0.1719,88.0,2022
641778,-0.0032,0.283,93.0,2022
641793,-0.0371,0.2381,20.0,2022
641816,0.0451,0.3875,102.0,2022
641835,-0.0507,0.2963,31.0,2022
641838,0.0,0.5,,2022
641907,0.0376,0.32,34.0,2022
641927,-0.0554,0.2535,83.0,2022
641941,0.0283,0.2,26.0,2022
642028,-0.023,0.2222,69.0,2022
642048,0.0295,0.2941,15.0,2022
642068,0.0,0.3333,,2022
642092,0.0,0.3,,2022
642100,-0.0228,0.2917,17.0,2022
642121,-0.067,0.2,38.0,2022
642130,-0.003,0.1923,29.0,2022
642140,0.0,0.0,,2022
642152,-0.0026,0.3889,17.0,2022
642203,-0.1105,0.2222,13.0,2022
642207,-0.0106,0.4667,40.0,2022
642225,0.0,0.0,,2022
642232,0.0,0.1905,,2022
642233,0.0,0.5714,,2022
642271,0.0,0.0,,2022
642397,-0.0559,0.2273,28.0,2022
642528,0.0067,0.2414,39.0,2022
642545,-0.0262,0.2195,46.0,2022
642547,-0.0173,0.35,78.0,2022
642585,-0.0164,0.3462,36.0,2022
642659,0.0,0.0,,2022
642701,-0.0413,0.15,19.0,2022
642758,0.0258,0.3438,41.0,2022
642770,0.0461,0.25,38.0,2022
643256,-0.0717,0.1818,37.0,2022
643316,0.0082,0.2857,36.0,2022
643338,0.005,0.2941,41.0,2022
643377,0.0233,0.3529,38.0,2022
643400,0.1893,0.4286,11.0,2022
643410,0.0071,0.2791,49.0,2022
643511,0.013,0.3448,34.0,2022
644364,0.0122,0.3214,41.0,2022
644429,0.0039,0.4583,34.0,2022
645261,0.0154,0.2794,98.0,2022
647315,0.0,0.625,,2022
649144,0.224,0.3,16.0,2022
650496,0.0,0.0,,2022
650556,0.0118,0.4074,45.0,2022
650633,-0.034,0.3929,49.0,2022
650644,0.0851,0.3448,75.0,2022
650671,-0.0534,0.25,1.0,2022
650893,-0.0055,0.1875,37.0,2022
650895,0.0221,0.3333,38.0,2022
650911,-0.0177,0.1923,35.0,2022
650959,0.2188,0.5,4.0,2022
650960,0.0224,0.3846,14.0,2022
655889,0.0,0.0,,2022
656061,-0.0271,0.0909,38.0,2022
656077,0.0,0.25,,2022
656206,0.0,0.5,,2022
656222,-0.0597,0.2609,33.0,2022
656234,0.0,1.0,,2022
656271,0.0443,0.375,47.0,2022
656302,0.0343,0.2778,90.0,2022
656349,0.0,0.0,,2022
656353,0.0037,0.4545,16.0,2022
656354,-0.0231,0.303,39.0,2022
656420,-0.1393,0.0833,34.0,2022
656457,-0.088,0.2143,32.0,2022
656458,0.027,0.375,21.0,2022
656464,0.0,0.0,,2022
656529,-0.021,0.2222,32.0,2022
