name,team,fpts,W,ERA,K,WHIP,SV,year
Jake Junis,TEX,184.5,4,2.69,51,0.85,1.0,2024
Seranthony Dominguez,CHW,184.0,3,4.45,68,1.24,11.0,2024
Paul Sewald,ARI,182.5,1,4.31,43,1.13,16.0,2024
Kevin Kelly,TB,181.5,5,2.67,63,0.96,1.0,2024
Jeremiah Estrada,SD,179.0,6,2.95,94,1.07,1.0,2024
Jose Urena,LAA,179.0,5,3.8,70,1.32,1.0,2024
Tyson Miller,CHW,179.0,5,2.32,54,0.81,1.0,2024
Tim Herrin,CLE,178.0,5,1.92,68,0.97,,2024
Ryne Stanek,STL,176.5,7,4.88,67,1.32,7.0,2024
Bryan Abreu,HOU,175.5,3,3.1,103,1.16,1.0,2024
Tayler Scott,ATL,174.5,7,2.23,71,1.17,,2024
Dennis Santana,PIT,173.5,3,3.89,69,1.09,3.0,2024
Keider Montero,DET,171.5,6,4.76,77,1.33,,2024
David Robertson,PHI,171.5,3,3.0,99,1.11,2.0,2024
Jared Koenig,MIL,169.5,9,2.47,63,1.24,1.0,2024
Cooper Criswell,SEA,168.5,6,4.08,73,1.35,,2024
Jordan Hicks,CHW,168.0,4,4.1,96,1.45,1.0,2024
Nick Sandlin,LAA,167.0,8,3.75,68,1.27,1.0,2024
Reed Garrett,NYM,166.5,8,3.77,83,1.4,4.0,2024
Garrett Cleavinger,TB,166.5,7,3.75,71,1.38,6.0,2024
Justin Slaten,BOS,165.0,6,2.93,58,1.01,2.0,2024
Chris Paddack,MIA,163.5,5,4.99,79,1.39,,2024
Devin Williams,NYM,163.0,1,1.25,38,0.97,14.0,2024
Michael Tonkin,MIN,162.5,4,3.63,85,1.26,2.0,2024
Andrew Kittredge,BAL,160.5,5,2.8,67,1.13,1.0,2024
Edwin Uceta,TB,160.5,2,1.51,57,0.82,5.0,2024
Yennier Cano,BAL,160.5,4,3.15,65,1.3,5.0,2024
Trent Thornton,CHC,159.5,4,3.61,77,1.13,1.0,2024
Ryan Thompson,ARI,159.0,7,3.26,52,1.19,2.0,2024
Joe Jimenez,ATL,158.0,1,2.62,82,0.99,3.0,2024
Hunter Strickland,LAA,157.5,3,3.31,57,1.09,1.0,2024
A.J. Puk,ARI,156.0,4,3.15,88,1.11,3.0,2024
