id,name,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,season
641355,"Bellinger, Cody",150,0.3466666666666667,0.6533333333333333,0.31333333333333335,0.24,0.1,0.43333333333333335,0.37333333333333335,0.19333333333333333,0.20666666666666667,0.12666666666666668,0.013333333333333334,0.22666666666666668,0.24666666666666667,0.18,2026
641857,"McMahon, Ryan",84,0.4166666666666667,0.5833333333333333,0.35714285714285715,0.17857142857142858,0.047619047619047616,0.34523809523809523,0.34523809523809523,0.30952380952380953,0.20238095238095238,0.19047619047619047,0.023809523809523808,0.14285714285714285,0.15476190476190477,0.2857142857142857,2026
700250,"Rice, Ben",112,0.4375,0.5624999999999999,0.26785714285714285,0.25,0.044642857142857144,0.5089285714285714,0.3392857142857143,0.15178571428571427,0.2767857142857143,0.15178571428571427,0.008928571428571428,0.2321428571428571,0.18750000000000003,0.14285714285714285,2026
672820,"Sosa, Lenyn",82,0.3780487804878049,0.6219512195121951,0.2804878048780488,0.24390243902439024,0.0975609756097561,0.3780487804878049,0.32926829268292684,0.2926829268292683,0.18292682926829268,0.14634146341463414,0.04878048780487805,0.1951219512195122,0.1829268292682927,0.24390243902439024,2026
700337,"Quero, Edgar",71,0.5915492957746479,0.4084507042253521,0.2535211267605634,0.14084507042253522,0.014084507042253521,0.352112676056338,0.4225352112676056,0.22535211267605634,0.2535211267605634,0.2535211267605634,0.08450704225352113,0.09859154929577463,0.16901408450704225,0.14084507042253522,2026
808959,"Murakami, Munetaka",100,0.41,0.5900000000000001,0.43,0.13,0.03,0.46,0.41,0.13,0.24,0.13,0.04,0.22000000000000003,0.27999999999999997,0.09,2026
643217,"Benintendi, Andrew",98,0.32653061224489793,0.673469387755102,0.35714285714285715,0.25510204081632654,0.061224489795918366,0.5306122448979592,0.3673469387755102,0.10204081632653061,0.1836734693877551,0.11224489795918367,0.030612244897959183,0.34693877551020413,0.25510204081632654,0.07142857142857142,2026
671976,"Peters, Tristan",87,0.42528735632183906,0.574712643678161,0.25287356321839083,0.2413793103448276,0.08045977011494253,0.47126436781609193,0.3448275862068966,0.1839080459770115,0.20689655172413793,0.16091954022988506,0.05747126436781609,0.26436781609195403,0.18390804597701152,0.12643678160919541,2026
665742,"Soto, Juan",101,0.40594059405940597,0.594059405940594,0.33663366336633666,0.1782178217821782,0.07920792079207921,0.36633663366336633,0.45544554455445546,0.1782178217821782,0.18811881188118812,0.18811881188118812,0.0297029702970297,0.1782178217821782,0.26732673267326734,0.1485148514851485,2026
694497,"Carter, Evan",110,0.33636363636363636,0.6636363636363637,0.36363636363636365,0.2,0.1,0.35454545454545455,0.39090909090909093,0.2545454545454545,0.18181818181818182,0.12727272727272726,0.02727272727272727,0.17272727272727273,0.26363636363636367,0.22727272727272724,2026
592626,"Pederson, Joc",80,0.375,0.625,0.325,0.2625,0.0375,0.3625,0.3375,0.3,0.1375,0.1375,0.1,0.22499999999999998,0.2,0.19999999999999998,2026
677649,"Duran, Ezequiel",97,0.44329896907216493,0.5567010309278351,0.21649484536082475,0.26804123711340205,0.07216494845360824,0.32989690721649484,0.4020618556701031,0.26804123711340205,0.15463917525773196,0.20618556701030927,0.08247422680412371,0.17525773195876287,0.19587628865979384,0.18556701030927836,2026
643376,"Jansen, Danny",69,0.42028985507246375,0.5797101449275363,0.2463768115942029,0.15942028985507245,0.17391304347826086,0.5507246376811594,0.2898550724637681,0.15942028985507245,0.2753623188405797,0.10144927536231885,0.043478260869565216,0.2753623188405797,0.18840579710144928,0.11594202898550723,2026
696100,"Goodman, Hunter",104,0.3076923076923077,0.6923076923076923,0.36538461538461536,0.25961538461538464,0.0673076923076923,0.5384615384615384,0.27884615384615385,0.18269230769230768,0.18269230769230768,0.07692307692307693,0.04807692307692308,0.3557692307692307,0.20192307692307693,0.1346153846153846,2026
