batter_id,name,type,age,signal,spotrac_url,snapshot_date,contract_years,contract_total_m,annual_salary_m,guaranteed_m,contract_end_year,years_remaining,raw_text
44,Salvador Pérez,Hitter,36,Buy low,https://www.spotrac.com/mlb/kansas-city-royals/salvador-perez-8524/,20240419,4,82.0,20.5,82.0,2027,1,"Salvador Perez signed a 4 year / $82,000,000 contract with the Kansas City Royals, including $82,000,000 guaranteed, and an annual average salary of $"
47,Shohei Ohtani,Hitter,32,Buy low,https://www.spotrac.com/mlb/los-angeles-dodgers/shohei-ohtani-24661/,20240331,10,700.0,70.0,700.0,2033,7,"Shohei Ohtani signed a 10 year / $700,000,000 contract with the Los Angeles Dodgers, including $700,000,000 guaranteed, and an annual average salary o"
55,Steven Kwan,Hitter,29,Buy low,https://www.spotrac.com/mlb/cleveland-guardians/steven-kwan-26196/,20230725,1,0.73,0.73,0.73,2023,0,"Steven Kwan signed a 1 year / $727,300 contract with the Cleveland Guardians, including $727,300 guaranteed, and an annual average salary of $727,300."
59,Xander Bogaerts,Hitter,34,Buy low,https://www.spotrac.com/mlb/san-diego-padres/xander-bogaerts-14035/,20240323,11,280.0,25.45,,2034,8,"Xander Bogaerts signed a 11 year / $280,000,000 contract with the San Diego Padres, including a $5,000,000 signing bonus, $280,000,000 guaranteed, and"
61,Bryce Harper,Hitter,34,Buy low,https://www.spotrac.com/mlb/philadelphia-phillies/bryce-harper-8658/,20240218,13,330.0,25.38,,2032,6,"Bryce Harper signed a 13 year / $330,000,000 contract with the Philadelphia Phillies, including a $20,000,000 signing bonus, $330,000,000 guaranteed, "
62,Matt Chapman,Hitter,33,Sell high,https://www.spotrac.com/mlb/san-francisco-giants/matt-chapman-17701/,20240410,3,54.0,18.0,,2026,0,"Matt Chapman signed a 3 year / $54,000,000 contract with the San Francisco Giants, including a $2,000,000 signing bonus, $54,000,000 guaranteed, and a"
63,Garrett Mitchell,Hitter,28,Sell high,https://www.spotrac.com/mlb/milwaukee-brewers/garrett-mitchell-48374/,20230416,1,0.72,0.72,0.72,2023,0,"Garrett Mitchell signed a 1 year / $724,300 contract with the Milwaukee Brewers, including $724,300 guaranteed, and an annual average salary of $724,3"
64,José Soriano,Pitcher,28,Sell high,https://www.spotrac.com/mlb/los-angeles-angels/jose-soriano-18828/,20230710,1,0.72,0.72,0.72,2023,0,"Jose Soriano signed a 1 year / $720,000 contract with the Los Angeles Angels, including $720,000 guaranteed, and an annual average salary of $720,000."
66,Michael Wacha,Pitcher,35,Sell high,https://www.spotrac.com/mlb/kansas-city-royals/michael-wacha-13219/,20240417,2,32.0,16.0,32.0,2025,0,"Michael Wacha signed a 2 year / $32,000,000 contract with the Kansas City Royals, including $32,000,000 guaranteed, and an annual average salary of $1"
69,Heliot Ramos,Hitter,27,Sell high,https://www.spotrac.com/mlb/san-francisco-giants/heliot-ramos-23228/,20230719,1,0.72,0.72,0.72,2023,0,"Heliot Ramos signed a 1 year / $720,000 contract with the San Francisco Giants, including $720,000 guaranteed, and an annual average salary of $720,00"
73,Max Muncy,Hitter,24,Sell high,https://www.spotrac.com/mlb/los-angeles-dodgers/max-muncy-16719/,20240402,2,24.0,12.0,,2025,0,"Max Muncy signed a 2 year / $24,000,000 contract with the Los Angeles Dodgers, including a $5,000,000 signing bonus, $24,000,000 guaranteed, and an an"
74,Seth Lugo,Pitcher,37,Sell high,https://www.spotrac.com/mlb/kansas-city-royals/seth-lugo-18402/,20240417,3,45.0,15.0,45.0,2026,0,"Seth Lugo signed a 3 year / $45,000,000 contract with the Kansas City Royals, including $45,000,000 guaranteed, and an annual average salary of $15,00"
79,Otto Lopez,Hitter,28,Sell high,https://www.spotrac.com/mlb/miami-marlins/otto-lopez-70739/,20240416,1,0.74,0.74,0.74,2024,0,"Otto Lopez signed a 1 year / $740,000 contract with the San Francisco Giants, including $740,000 guaranteed, and an annual average salary of $740,000."
81,Andy Pages,Hitter,26,Sell high,https://www.spotrac.com/mlb/los-angeles-dodgers/andy-pages-47305/,20240417,1,0.74,0.74,0.74,2024,0,"Andy Pages signed a 1 year / $740,000 contract with the Los Angeles Dodgers, including $740,000 guaranteed, and an annual average salary of $740,000. "
92,Giancarlo Stanton,Hitter,37,Sell high,https://www.spotrac.com/mlb/new-york-yankees/giancarlo-stanton-6864/,20240402,13,325.0,25.0,325.0,2029,3,"Giancarlo Stanton signed a 13 year / $325,000,000 contract with the Miami Marlins, including $325,000,000 guaranteed, and an annual average salary of "
95,Jordan Walker,Hitter,24,Sell high,https://www.spotrac.com/mlb/st-louis-cardinals/jordan-walker-48376/,20230603,1,0.72,0.72,0.72,2023,0,"Jordan Walker signed a 1 year / $720,000 contract with the St. Louis Cardinals, including $720,000 guaranteed, and an annual average salary of $720,00"
